email,username,password_hash,full_name,phone,avatar,department_name,position,bio,preferences,is_active_user,is_admin,last_login,failed_login_attempts,locked_until,last_password_change,role_id,department_id,id,created_at,updated_at,is_deleted
admin@nexus.com,Commander,scrypt:32768:8:1$Pm2VUj9s5YZFU5fN$fb40116da667772a70419ee20b8fff268cb708cee86d2a88b0fec37db49a19ad5ee01a9a0ee539c54344a66b0be86312b5782ab842d5481e75ba609d80fae6d9,,15804018581,uploads/avatars/89bb31c33beb4cca9308df18a02601c3.jpg,<Department 1>,BOSS,,"{""theme"": ""auto"", ""language"": ""zh-CN"", ""ai_api_key"": ""sk-ec4cf8ad1b0b4c259742f9d08e95782e""}",1,1,2025-12-25 17:37:08.268103,0,,2025-11-25 20:23:02,1,1,1,2025-11-25 20:23:02.242228,2025-12-25 18:17:08.946917,0
user0@nexus.com,xiatang0,scrypt:32768:8:1$ce6asiFclAdlXueW$896d404214e7be92a1ed5f85b73a13976f9a178aa5a86bfa655b1a9ebc142d67c6fc622f8ec401dafa374a6dc138c993b81e5a09ddddcde0cb8912290e8492da,,,https://ui-avatars.com/api/?name=U0&background=random,,,,,1,0,,0,,2025-11-25 20:23:02,2,2,2,2025-11-25 20:23:02.242232,2025-11-25 20:23:02.242234,0
user1@nexus.com,fengxia1,scrypt:32768:8:1$Kh2NEXCAYANZGus2$54d455e086265e92844c4bcc3335f47c987e0b405b529f5781abfd47a134724170856c0e01fc5d45a26752a7cfd1fc1a7515b47a6079ecb4cc289d9a8b713146,,,https://ui-avatars.com/api/?name=U1&background=random,,,,,1,0,,0,,2025-11-25 20:23:02,3,5,3,2025-11-25 20:23:02.242235,2025-11-25 20:23:02.242236,0
user2@nexus.com,bqiu2,scrypt:32768:8:1$Oo6aD5vgNlHiMTnn$24a697616910a66ef0d9092ceaa2b2a2e34fc4499d79d65465a3629380fbc19777f2f9e7418c9869ff9092cf5fb3a31290f25acbe0584cf6d70fe1ad59b8657c,,,https://ui-avatars.com/api/?name=U2&background=random,,,,,1,0,,0,,2025-11-25 20:23:02,2,10,4,2025-11-25 20:23:02.242238,2025-11-25 20:23:02.242239,0
user3@nexus.com,mingfu3,scrypt:32768:8:1$b4EXkfu8KVCbHohQ$08d902e92c2e71f1cde66867eccb66f24514617e39d0617d31def9c9a810bfa7520182736605176d37b44d542429c6708af880f3f64fcd393095439c8e2447fa,,,https://ui-avatars.com/api/?name=U3&background=random,,,,,1,0,,0,,2025-11-25 20:23:02,2,9,5,2025-11-25 20:23:02.242240,2025-11-25 20:23:02.242241,0
user4@nexus.com,taohan4,scrypt:32768:8:1$CHiPHnGVC36iskY5$5fe7e7cd350e7bee69763cda788590eee44fb161dc3fafdf583840f98bf4b1ee39a4a5608d8329f1f9d34dd7c5dc3071cb83e0fda0b1c4a50dc86d3af8ea3202,,,https://ui-avatars.com/api/?name=U4&background=random,,,,,1,0,,0,,2025-11-25 20:23:02,2,2,6,2025-11-25 20:23:02.242243,2025-11-25 20:23:02.242244,0
user5@nexus.com,gang555,scrypt:32768:8:1$45R86m6HLcL1tyFd$93a0feaf273fa55d1e742a7df496cba67bff8d1d88f4807c2acd29b3420b784586e4aa9063ca8918032dca0453996c10ae3989cb9ba833601324ab8eca384b12,,,https://ui-avatars.com/api/?name=U5&background=random,,,,,1,0,,0,,2025-11-25 20:23:02,2,8,7,2025-11-25 20:23:02.242245,2025-11-25 20:23:02.242246,0
user6@nexus.com,xiuying806,scrypt:32768:8:1$jVhL2jjFIyvgnXrQ$f6d39e2b739cbcf5011dfbf11e4b2147f93a0d9e7a5f934253ca05f19ecc3b51376de831319a130201b0b2e7bf71caefdc9c4cf9ba2e385fe6df155b1e9a5822,,,https://ui-avatars.com/api/?name=U6&background=random,,,,,1,0,,0,,2025-11-25 20:23:02,3,4,8,2025-11-25 20:23:02.242248,2025-11-25 20:23:02.242249,0
user7@nexus.com,ixiang7,scrypt:32768:8:1$EcOkKGtZb0C7w2eb$d6598daa60335164b82b027bd581bf71a84abcf1b12202f2be1110a4a646ef6f19ef24f766f0be46172fa229a966ccc2b84bdd70751acc55a910c98f0d3ba57b,,,https://ui-avatars.com/api/?name=U7&background=random,,,,,1,0,,0,,2025-11-25 20:23:02,3,10,9,2025-11-25 20:23:02.242250,2025-11-25 20:23:02.242251,0
user8@nexus.com,ocui8,scrypt:32768:8:1$bE4q6DCvXCxBx39O$91249826813de1879ae448e82f4a163cf65696920f0a41a55c630d3697160a9127bab078eb040df5abbc6809eab059719e513e32d037e32cf0ba9ed8ae6f83ea,,,https://ui-avatars.com/api/?name=U8&background=random,,,,,1,0,,0,,2025-11-25 20:23:02,2,7,10,2025-11-25 20:23:02.242253,2025-11-25 20:23:02.242254,0
user9@nexus.com,qinxia9,scrypt:32768:8:1$sGMozofEhg80Y2tb$f2335708af4874a9c09d6445e16c47cfbed874fa629e5bca4acdf647274472c6c2bdb26e63d2a134e1a95081913eebe916a2d6d0e1d7cbeb81c5e733fcc3a14b,,,https://ui-avatars.com/api/?name=U9&background=random,,,,,1,0,,0,,2025-11-25 20:23:02,2,6,11,2025-11-25 20:23:02.242255,2025-11-25 20:23:02.242256,0
user10@nexus.com,hujing10,scrypt:32768:8:1$PNW1LoiyScGtpaqN$5ae0b34189eff6be16e99cd1d68359745794340831240d11c9ae1fea14b10befbe7b480cc5cc856a091d58d6e55a25576a5beb7f71907982cd9ebdc5b59f62d6,,,https://ui-avatars.com/api/?name=U10&background=random,,,,,1,0,,0,,2025-11-25 20:23:02,2,8,12,2025-11-25 20:23:02.242258,2025-11-25 20:23:02.242259,0
user11@nexus.com,rgu11,scrypt:32768:8:1$radCJNpJifzoRWLS$f8b7e3b6d103b73ace4b5b92659a333a5896b838da5871122984d86429e30e4543cde0e656907c1d478e3dab38c8e086e795a5c68722fb34529020b31abe18f4,,,https://ui-avatars.com/api/?name=U11&background=random,,,,,1,0,,0,,2025-11-25 20:23:02,3,3,13,2025-11-25 20:23:02.242260,2025-11-25 20:23:02.242261,0
