name,type,contact_person,phone,email,address,credit_score,id,created_at,updated_at,is_deleted
宋系统,supplier,刘璐,15156045738,partner0@company.com,台湾省淮安市长寿沈阳路I座 622021,60,1,2025-11-25 20:27:24.581269,2025-11-25 20:27:24.581272,0
金重工,supplier,陈俊,18054587162,partner1@company.com,西藏自治区南宁县白云广州街a座 489111,65,2,2025-11-25 20:27:24.581274,2025-11-25 20:27:24.581275,0
邱系统,supplier,刘丽华,18076769637,partner2@company.com,香港特别行政区上海县牧野邢街i座 513479,82,3,2025-11-25 20:27:24.581276,2025-11-25 20:27:24.581277,0
伏网络,supplier,张文,18529093032,partner3@company.com,新疆维吾尔自治区婷婷市大东包路Y座 330270,66,4,2025-11-25 20:27:24.581279,2025-11-25 20:27:24.581280,0
陈矩阵,customer,李丽娟,18140423302,partner4@company.com,辽宁省桂珍县合川汕尾街M座 576879,73,5,2025-11-25 20:27:24.581281,2025-11-25 20:27:24.581282,0
郑矩阵,supplier,揭艳,13349261317,partner5@company.com,陕西省柳州县龙潭台北街e座 505443,95,6,2025-11-25 20:27:24.581283,2025-11-25 20:27:24.581284,0
陈防务,customer,许秀云,15932645374,partner6@company.com,江苏省梅县华龙海门路e座 505803,84,7,2025-11-25 20:27:24.581285,2025-11-25 20:27:24.581286,0
张生物科技,supplier,高文,18622018127,partner7@company.com,海南省拉萨市梁平梧州路T座 809665,98,8,2025-11-25 20:27:24.581287,2025-11-25 20:27:24.581288,0
孙工业,customer,翟超,18701514859,partner8@company.com,重庆市太原市永川魏街p座 831043,87,9,2025-11-25 20:27:24.581289,2025-11-25 20:27:24.581290,0
李矩阵,supplier,阎红霞,13335061475,partner9@company.com,山西省长沙县崇文王路K座 160646,71,10,2025-11-25 20:27:24.581291,2025-11-25 20:27:24.581292,0
姚动力,customer,刘帆,15566005834,partner10@company.com,山西省兰英市房山太原路y座 163669,100,11,2025-11-25 20:27:24.581294,2025-11-25 20:27:24.581295,0
韩矩阵,customer,孙秀云,13795235844,partner11@company.com,江苏省浩市双滦长春街A座 878333,87,12,2025-11-25 20:27:24.581296,2025-11-25 20:27:24.581297,0
梁重工,customer,萧亮,15692557416,partner12@company.com,澳门特别行政区广州县崇文李街b座 808116,80,13,2025-11-25 20:27:24.581298,2025-11-25 20:27:24.581299,0
李系统,customer,黄桂香,14507717147,partner13@company.com,江苏省广州县沙市佛山街Q座 315843,91,14,2025-11-25 20:27:24.581300,2025-11-25 20:27:24.581301,0
许矩阵,supplier,周丹丹,15382521252,partner14@company.com,河南省柳市怀柔何路I座 716111,94,15,2025-11-25 20:27:24.581302,2025-11-25 20:27:24.581303,0
官探索公司,customer,李军,13952349407,partner15@company.com,内蒙古自治区银川县城东大冶路j座 906351,80,16,2025-11-25 20:27:24.581304,2025-11-25 20:27:24.581305,0
